price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,sqft_total
550000,4.0,1,1,0,0,1,5.5,1933,0,47.6621,-122.132,38168.0
640000,4.0,2,2,0,0,4,8.0,1904,0,47.6702,-122.362,10720.0
240000,4.0,1,1,0,0,2,7.0,1969,0,47.3341,-122.282,10515.0
605000,4.0,2,2,0,0,3,8.0,1996,0,47.5301,-122.18,12793.0
625000,4.0,2,2,0,0,3,9.0,2000,0,47.6145,-122.027,10660.0
775000,4.0,2,1,0,0,3,8.0,1984,0,47.445,-122.347,32406.0
861990,5.0,2,2,0,0,3,9.0,2014,0,47.6848,-122.016,12829.0
685000,3.0,1,2,0,0,3,7.0,1922,0,47.6413,-122.364,5420.0
309000,3.0,1,1,0,0,4,6.0,1959,0,47.4485,-122.175,12216.0
488000,3.0,2,2,0,0,3,8.0,2003,0,47.7443,-121.977,19923.0
210490,3.0,1,1,0,0,3,6.0,1966,0,47.3066,-122.371,10508.0
785000,4.0,2,2,0,0,4,9.0,1981,0,47.6194,-122.151,17996.0
450000,3.0,1,1,0,0,4,7.0,1953,0,47.6796,-122.301,8463.0
1129912,3.0,2,1,1,2,5,9.0,1953,0,47.4041,-122.451,70511.0
228000,3.0,1,1,0,0,3,7.0,1955,0,47.4258,-122.322,11579.0
345000,5.0,2,1,0,0,4,8.0,1966,0,47.4934,-122.189,15324.0
600000,3.0,1,1,0,0,4,7.0,1950,0,47.6808,-122.384,6900.0
585000,2.0,1,1,0,0,3,7.0,1981,0,47.6989,-122.369,12510.0
920000,5.0,2,1,0,0,3,8.0,1927,0,47.6571,-122.281,11460.0
885000,4.0,2,2,0,0,3,9.0,1995,0,47.6597,-122.29,10660.0
292500,4.0,2,2,0,0,3,7.0,2008,0,47.3663,-122.114,8995.0
301000,3.0,2,2,0,0,3,8.0,2003,0,47.3663,-122.122,9590.0
951000,5.0,3,2,0,4,4,8.0,1968,0,47.588,-122.116,20842.0
430000,4.0,3,2,0,0,3,8.0,1991,0,47.5059,-122.149,13676.0
650000,3.0,2,1,0,3,4,8.0,1959,0,47.4336,-122.339,25535.0
289000,3.0,1,1,0,0,3,7.0,1954,0,47.4366,-122.335,10920.0
505000,3.0,1,2,0,0,5,8.0,1973,0,47.4428,-122.344,13728.0
549000,3.0,1,3,0,0,3,8.0,2014,0,47.6765,-122.32,4124.0
425000,3.0,2,1,0,0,3,7.0,1979,0,47.6113,-122.297,9320.0
317625,3.0,2,1,0,0,5,7.0,1925,0,47.5747,-122.304,9349.0
975000,4.0,2,2,0,0,3,9.5,1989,0,47.5815,-122.192,16489.0
287000,4.0,2,2,0,0,3,7.0,2005,0,47.3378,-122.257,9128.0
204000,3.0,1,1,0,0,4,7.0,1968,0,47.3621,-122.11,14070.0
1129912,5.0,2,1,0,0,3,8.0,1965,0,47.6303,-122.215,26358.0
1040000,5.0,3,1,0,0,4,9.5,1973,0,47.6525,-122.16,58794.0
325000,3.0,2,1,0,0,4,7.0,1972,0,47.7362,-122.179,8132.0
571000,4.0,2,1,0,0,5,7.0,1916,0,47.7168,-122.287,13307.0
360000,4.0,2,2,0,0,3,8.0,2005,0,47.3608,-122.036,9760.0
349000,3.0,1,1,0,0,5,7.0,1965,0,47.3511,-122.073,54109.0
832500,4.0,3,2,0,0,4,9.5,1986,0,47.5822,-121.987,41962.0
380000,4.0,1,1,0,0,3,7.0,1956,0,47.6034,-122.125,10820.0
480000,3.0,1,1,0,0,3,7.0,1941,0,47.5636,-122.394,7140.0
410000,3.0,1,1,0,0,4,7.0,1956,0,47.7073,-122.34,7880.0
720000,4.0,2,2,0,0,3,9.5,2002,0,47.342,-122.025,46583.0
390000,3.0,2,2,0,0,3,8.0,2003,0,47.3512,-122.008,9800.0
360000,4.0,2,2,0,0,3,7.0,1992,0,47.349,-122.031,9689.0
355000,2.0,1,1,0,0,3,7.0,1948,0,47.5474,-122.291,10760.0
356000,3.0,1,1,0,0,3,8.0,1964,0,47.4811,-122.149,12072.0
315000,3.0,1,1,0,0,3,6.0,1952,0,47.7264,-122.31,8554.0
940000,3.0,1,2,0,0,3,9.0,1925,0,47.6337,-122.365,7880.0
305000,5.0,2,1,0,0,5,7.0,1961,0,47.2909,-122.189,13720.0
461000,3.0,3,2,0,0,3,9.0,2006,0,47.5228,-122.199,11818.0
215000,2.0,2,2,0,0,4,7.0,1979,0,47.518,-122.194,5260.0
335000,2.0,1,2,0,0,3,7.0,2006,0,47.5394,-122.387,3126.0
243500,4.0,2,2,0,0,3,7.0,1988,0,47.2897,-122.372,11363.0
1099880,5.0,2,2,0,0,4,9.5,2001,0,47.6506,-122.391,13393.0
153000,3.0,1,1,0,0,3,7.0,1962,0,47.322,-122.351,12900.0
430000,3.0,1,1,0,0,3,8.0,1939,0,47.687,-122.386,8160.0
700000,3.0,1,1,0,0,3,8.0,1939,0,47.687,-122.386,8160.0
905000,4.0,2,1,0,0,3,7.0,1946,1991,47.5873,-122.249,16850.0
247500,3.0,1,1,0,0,3,7.0,1967,0,47.3576,-122.277,19601.0
199000,4.0,1,1,0,0,4,7.0,1975,0,47.3036,-122.378,8720.0
314000,3.0,1,1,0,0,5,7.0,1980,0,47.4109,-121.958,45420.0
437500,3.0,2,2,0,2,3,9.0,1992,0,47.4838,-121.714,41487.0
850830,3.0,2,1,0,0,5,9.0,1910,0,47.6415,-122.315,17381.0
555000,3.0,2,1,0,0,4,7.0,1929,0,47.6775,-122.372,7438.0
699950,3.0,2,2,0,0,4,8.0,1983,0,47.7731,-122.08,111973.0
1088000,3.0,2,2,0,0,3,8.0,1950,2010,47.5814,-122.196,13953.0
290000,3.0,1,1,0,0,3,7.0,1954,0,47.4375,-122.184,36339.0
375000,3.0,2,1,0,0,4,8.0,1978,0,47.4431,-122.133,14685.0
460000,3.0,1,1,0,0,4,7.0,1939,0,47.6878,-122.38,7345.0
188500,2.0,1,1,0,0,4,8.0,1985,0,47.3813,-122.322,4973.0
680000,4.0,2,2,0,0,4,9.5,1991,0,47.7304,-122.082,34317.0
470000,5.0,1,2,0,0,4,7.0,1942,0,47.6417,-122.109,16402.0
597750,4.0,2,2,0,0,3,8.0,1984,0,47.5386,-122.053,14244.0
570000,3.0,1,1,0,0,5,6.0,1905,0,47.6823,-122.349,5848.0
272500,3.0,1,1,0,0,4,7.0,1980,0,47.3624,-122.031,15680.0
329950,3.0,1,1,0,2,3,7.0,1971,0,47.5474,-122.295,10129.0
480000,4.0,2,2,0,3,3,9.0,2001,0,47.3183,-122.253,22631.0
740500,3.0,3,2,0,0,3,8.0,1900,1999,47.6981,-122.368,14760.0
518500,3.0,3,3,0,0,3,8.0,2010,0,47.6824,-122.347,4282.0
205425,2.0,1,1,0,0,4,6.0,1945,0,47.5009,-122.248,8540.0
171800,4.0,2,1,0,0,3,6.0,1950,0,47.4965,-122.303,12740.0
535000,4.0,1,1,0,0,4,7.0,1925,0,47.587,-122.294,6202.0
660000,3.0,2,1,0,2,3,8.0,1964,0,47.7728,-122.386,11274.0
391500,3.0,2,1,0,0,3,7.0,1987,0,47.7288,-122.226,12032.0
395000,2.0,1,1,0,0,3,6.0,1953,0,47.6999,-122.364,7540.0
445000,4.0,1,1,0,0,5,7.0,1924,0,47.5299,-122.266,8600.0
770000,3.0,2,2,0,0,3,9.0,1990,0,47.6897,-122.098,16024.0
1129912,4.0,2,1,0,0,3,8.0,1914,1992,47.6141,-122.212,23289.0
445000,3.0,2,1,0,2,3,8.0,1967,0,47.5091,-122.244,12401.0
260000,4.0,2,1,0,0,3,8.0,1978,0,47.3129,-122.39,13131.0
822500,5.0,3,2,0,0,5,7.0,1926,0,47.6763,-122.352,9600.0
430000,4.0,2,2,0,0,3,7.0,2004,0,47.5319,-121.85,8450.0
212000,3.0,1,1,0,0,4,7.0,1986,0,47.2761,-122.152,9995.0
660500,4.0,2,1,0,0,3,8.0,1986,0,47.5343,-122.054,13623.0
784000,3.0,3,1,0,0,3,9.0,1989,0,47.697,-122.072,118888.0
453246,3.0,2,2,0,0,3,8.0,2014,0,47.5517,-121.998,6307.0
675000,4.0,3,3,0,0,3,9.0,2005,0,47.6734,-122.38,6558.0
199000,3.0,1,1,0,0,4,7.0,1956,0,47.3257,-122.296,20030.0
220000,4.0,1,1,0,0,3,7.0,1968,0,47.3309,-122.299,11880.0
452000,4.0,2,1,0,0,4,8.0,1968,0,47.7689,-122.266,15182.0
382500,2.0,1,1,0,0,3,6.0,1981,0,47.7135,-122.287,6820.0
519950,3.0,2,3,0,0,3,8.0,2014,0,47.6722,-122.381,3589.0
665000,2.0,1,1,0,0,3,7.0,1925,0,47.6338,-122.358,5420.0
527700,5.0,2,1,0,0,4,8.0,1968,0,47.5707,-122.128,15015.0
205000,3.0,1,1,0,0,4,7.0,1962,0,47.4563,-122.171,11799.0
420000,3.0,1,1,0,0,4,7.0,1923,0,47.7144,-122.351,10217.0
500000,4.0,2,1,0,0,4,8.0,1961,0,47.5495,-122.174,12577.0
921500,4.0,2,2,0,0,4,9.0,1994,0,47.7421,-122.026,322714.0
890000,4.0,1,2,0,0,3,8.0,1905,0,47.6354,-122.353,9100.0
430000,2.0,2,2,0,0,3,7.0,2007,0,47.5262,-121.943,65824.0
258000,5.0,2,1,0,0,4,8.0,1960,0,47.3887,-122.286,17020.0
511000,3.0,1,1,0,0,3,7.0,1947,0,47.6873,-122.336,6315.0
532170,3.0,2,2,0,0,3,8.0,1990,0,47.6838,-122.353,5810.0
560000,3.0,1,1,0,0,3,7.0,1947,0,47.655,-122.359,7220.0
282950,3.0,1,1,0,0,4,7.0,1954,0,47.3255,-122.304,10700.0
1129912,4.0,3,2,0,3,3,9.5,2006,0,47.562,-122.162,29020.0
350000,1.5,1,1,0,0,3,7.0,1942,0,47.679,-122.3,6500.0
215000,3.0,1,1,0,0,4,7.0,1967,0,47.4479,-122.176,10029.0
650000,5.0,3,2,0,0,3,9.0,1996,0,47.525,-122.172,33105.0
320000,4.0,2,1,0,0,3,8.0,1967,0,47.3135,-122.369,12780.0
247000,3.0,2,1,0,0,3,7.0,1916,2013,47.2086,-121.996,9738.0
320000,4.0,1,1,0,0,4,8.0,1968,0,47.4715,-122.118,14700.0
255000,5.0,2,1,0,0,3,7.0,1962,0,47.4877,-122.335,12752.0
438000,3.0,1,1,0,0,3,7.0,1962,0,47.7171,-122.193,13220.0
900000,3.0,2,2,0,0,3,9.5,2000,0,47.6012,-122.023,23403.0
441000,3.0,2,1,0,0,3,7.0,1979,0,47.7319,-122.224,11100.0
420000,3.0,2,1,0,0,4,7.0,1975,0,47.4582,-122.023,42372.0
370000,3.0,1,1,0,0,3,7.0,1976,0,47.7209,-122.168,10160.0
269950,2.0,1,1,0,0,5,5.5,1949,0,47.408,-122.327,9930.0
807100,4.0,2,2,0,0,3,9.0,1999,0,47.565,-122.125,9859.0
653000,3.0,2,1,0,0,4,8.0,1979,0,47.7028,-122.231,15110.0
371500,3.0,2,1,0,0,5,7.0,1964,0,47.7458,-122.331,11076.0
284000,3.0,1,1,0,0,3,7.0,1954,0,47.4776,-122.337,24120.0
272000,3.0,1,1,0,0,4,7.0,1978,0,47.3026,-122.374,11460.0
313000,3.0,1,1,0,0,3,7.0,1955,0,47.7658,-122.339,10592.0
917500,4.0,2,2,0,0,3,9.5,1984,0,47.6477,-122.182,42763.0
673000,4.0,2,2,0,0,4,8.0,1980,0,47.5619,-122.125,13370.0
425000,3.0,2,2,0,0,3,8.0,2008,0,47.6106,-122.31,3340.0
399950,5.0,2,1,0,0,3,7.0,1986,0,47.5868,-122.308,9340.0
385000,3.0,1,1,0,0,3,6.0,1901,0,47.6101,-122.307,7240.0
269950,3.0,1,1,0,2,4,7.0,1975,0,47.1976,-121.999,11460.0
330000,2.0,1,1,0,0,3,7.0,1949,0,47.7224,-122.358,10920.0
260000,3.0,2,2,0,0,3,7.0,1988,0,47.3505,-122.179,9137.0
470000,4.0,3,1,0,0,4,7.0,1925,0,47.5384,-122.376,9885.0
589000,4.0,3,2,0,0,5,7.0,1961,0,47.7044,-122.2,14480.0
163500,2.0,1,2,0,0,3,7.0,1996,0,47.3848,-122.039,5519.0
835000,4.0,2,2,0,0,3,9.0,1993,0,47.6993,-122.102,19672.0
1095000,5.0,3,1,0,2,4,9.5,1986,0,47.6627,-122.188,20430.0
269000,4.0,1,1,0,0,4,8.0,1969,0,47.3099,-122.379,12980.0
560000,3.0,2,2,0,0,3,8.0,1987,0,47.62,-122.043,12544.0
615000,4.0,1,1,0,0,4,6.0,1901,0,47.65,-122.34,5060.0
585188,3.0,2,1,0,0,3,8.0,1975,0,47.6647,-122.153,14486.0
305000,3.0,1,1,0,0,3,7.0,1977,0,47.726,-122.191,12780.0
166950,3.0,1,1,0,0,3,6.0,1959,0,47.4616,-122.184,11200.0
799000,3.0,2,1,0,0,4,8.0,1959,0,47.5505,-122.219,14177.0
400000,3.0,2,1,0,0,4,7.0,1962,0,47.7606,-122.336,11868.0
230000,3.0,1,1,0,0,3,7.0,1948,0,47.7481,-122.3,12348.0
256883,3.0,2,2,0,0,3,8.0,2003,0,47.2779,-122.347,8405.0
423000,4.0,2,1,0,0,5,7.0,1920,0,47.5511,-122.312,10420.0
465000,3.0,2,2,0,0,3,8.0,2007,0,47.5488,-122.372,8384.0
440000,3.0,2,2,0,0,3,7.0,1997,0,47.5385,-121.911,70031.0
385000,3.0,1,1,0,0,4,7.0,1969,0,47.4058,-121.994,157773.0
210000,3.0,1,1,0,0,4,6.0,1943,0,47.5093,-122.184,13445.0
297000,3.0,2,2,0,0,3,8.0,1994,0,47.3777,-122.165,18832.0
470000,3.0,1,1,0,0,3,7.0,1952,0,47.675,-122.394,7020.0
226500,3.0,1,1,0,0,4,7.0,1976,0,47.3025,-122.37,9970.0
274250,3.0,1,1,0,0,4,6.0,1962,0,47.4787,-122.158,10270.0
840000,4.0,1,1,0,0,4,9.0,1966,0,47.5378,-122.219,15970.0
677900,3.0,2,2,0,0,3,8.0,2010,0,47.7073,-122.114,9467.0
425000,3.0,1,1,0,0,3,7.0,1915,0,47.5733,-122.381,7884.0
180250,2.0,0,1,0,0,3,6.0,1941,0,47.4604,-122.339,11400.0
464000,5.5,3,2,0,0,3,7.0,1920,1994,47.7067,-122.343,8004.0
320000,4.0,2,2,0,0,3,8.0,1993,0,47.354,-122.047,10679.0
625504,3.0,2,2,0,0,3,8.0,2014,0,47.6647,-122.284,4106.0
592500,4.0,2,1,0,0,3,9.0,1983,0,47.6143,-122.017,16512.0
465000,3.0,2,2,0,0,3,9.0,2005,0,47.3185,-122.275,23364.0
477000,4.0,2,2,0,0,3,8.0,1978,0,47.5458,-122.268,9710.0
280000,2.0,1,1,0,0,3,6.0,1923,0,47.4889,-122.299,18100.0
1129912,5.0,3,1,0,3,3,9.0,1957,1991,47.5673,-122.21,40044.0
445838,3.0,2,2,0,0,3,8.0,2000,0,47.5133,-122.379,10192.0
1072000,2.0,2,1,0,3,3,8.0,1947,0,47.5884,-122.291,22114.0
467000,2.0,1,1,0,0,4,8.0,1947,0,47.7145,-122.367,13440.0
686000,4.0,2,2,0,0,3,9.5,1999,0,47.5836,-122.026,11960.0
279950,3.0,2,1,0,0,3,7.0,1961,0,47.398,-122.299,13250.0
527000,4.0,2,2,0,0,3,8.0,1987,0,47.7663,-122.215,24096.0
325000,3.0,2,1,0,0,4,8.0,1966,0,47.3758,-122.217,20460.0
328000,3.0,2,2,0,0,3,7.0,1994,0,47.3828,-122.023,12419.0
390000,3.0,2,1,0,0,5,7.0,1942,0,47.5123,-122.373,10000.0
479950,2.0,2,1,0,0,3,8.0,2005,0,47.7076,-122.013,9536.0
264950,4.0,2,1,0,0,4,7.0,1978,0,47.2922,-122.371,13193.0
235000,3.0,1,1,0,0,4,7.0,1961,0,47.4075,-122.214,18106.0
516500,3.0,2,2,0,0,3,7.0,2004,0,47.6794,-122.034,7689.0
655000,2.0,1,2,1,4,3,7.0,1915,1978,47.4497,-122.375,18698.0
500000,4.0,2,1,0,0,5,7.0,1960,0,47.5218,-122.164,19907.0
315000,5.5,2,1,0,0,3,8.0,1978,0,47.3103,-122.339,13230.0
213000,2.0,1,1,0,0,3,6.0,1961,0,47.5687,-121.899,12200.0
475000,3.0,1,1,0,0,5,7.0,1947,0,47.5575,-122.303,10240.0
1025000,5.0,3,2,0,0,3,9.5,1983,0,47.6489,-122.183,35540.0
416000,3.0,2,1,0,0,5,7.0,1976,0,47.3459,-121.95,98740.0
410000,4.0,1,1,0,0,3,7.0,1904,2005,47.6136,-122.303,8680.0
800000,3.0,3,2,0,0,3,9.5,1993,0,47.7641,-122.023,228944.0
472000,5.5,2,1,0,2,4,9.0,1965,0,47.3376,-122.324,22014.0
225000,3.0,1,1,0,0,4,7.0,1968,0,47.3173,-122.319,11365.0
210000,2.0,1,1,0,0,3,6.0,1940,0,47.5308,-122.376,7660.0
455000,2.0,1,1,0,0,2,7.0,1925,0,47.6727,-122.299,7860.0
225000,3.0,1,1,0,0,4,6.0,1954,0,47.3221,-122.216,10916.0
480000,2.0,1,1,0,2,4,7.0,1918,0,47.6779,-122.353,5120.0
363000,3.0,2,2,0,0,3,9.0,1990,0,47.3076,-122.395,17352.0
1129912,4.0,2,1,1,4,3,9.0,2000,0,47.6338,-122.072,15234.0
181000,2.0,1,1,0,0,3,6.0,1954,0,47.5218,-122.357,6560.0
250000,4.0,2,1,0,0,4,7.0,1976,0,47.2785,-122.213,11332.0
481000,3.0,1,1,0,0,4,6.0,1918,0,47.6846,-122.345,6120.0
260000,3.0,2,1,0,0,4,7.0,1978,0,47.3656,-122.278,10829.0
455000,4.0,2,2,0,0,3,9.0,2001,0,47.4369,-122.111,14405.0
415000,3.0,2,2,0,0,3,8.0,1991,0,47.4616,-121.711,39244.0
349500,3.0,1,1,0,0,3,7.0,1953,0,47.5405,-122.27,6338.0
245000,3.0,2,2,0,0,3,7.0,1987,0,47.3507,-122.178,10902.0
592500,2.0,2,1,0,2,5,7.0,1928,0,47.6979,-122.32,12031.0
385000,4.0,1,1,0,0,4,7.0,1955,0,47.5278,-122.345,12340.0
315000,3.0,1,1,0,0,4,7.0,1974,0,47.4756,-122.147,14615.0
255000,3.0,1,1,0,0,3,7.0,1979,0,47.4437,-121.772,12630.0
693000,4.0,2,2,0,0,3,8.0,2006,0,47.7048,-122.109,9345.0
780000,3.0,1,1,0,0,3,8.0,1911,0,47.6362,-122.302,7720.0
237000,3.0,1,1,0,0,4,7.0,1960,0,47.4207,-122.29,11010.0
525000,3.0,2,2,0,0,3,9.5,1979,0,47.6154,-122.047,44710.0
425000,2.0,1,1,0,0,3,5.5,1930,0,47.5964,-122.299,6580.0
369900,1.5,0,1,1,4,5,5.5,1936,0,47.4683,-122.438,11599.0
290000,4.0,2,2,0,0,4,7.0,1988,0,47.4045,-122.171,10680.0
285000,3.0,1,1,0,0,3,7.0,1954,0,47.5544,-122.358,12941.0
415000,2.0,1,1,0,0,3,7.0,1937,0,47.6802,-122.29,6640.0
272500,3.0,2,1,0,0,3,8.0,1979,0,47.2988,-122.371,14040.0
1129912,4.0,3,1,0,2,3,9.5,1982,2008,47.6312,-122.223,28370.0
1129912,4.0,3,2,0,0,4,9.5,1989,0,47.7285,-122.042,65316.0
436000,2.0,1,1,0,0,4,7.0,1939,0,47.7107,-122.352,9618.0
210000,3.0,1,1,0,0,4,7.0,1967,0,47.3271,-122.323,14790.0
236000,3.0,1,1,0,0,3,7.0,1961,0,47.5053,-122.255,8498.0
331000,3.0,1,1,0,0,3,7.0,1954,2003,47.6601,-122.4,3466.0
365000,3.0,2,2,0,0,3,8.0,2006,0,47.4145,-122.166,9816.0
450000,3.0,2,1,0,0,5,8.0,1960,0,47.4672,-122.165,20838.0
770000,4.0,2,2,0,0,3,9.0,2014,0,47.7618,-122.261,33940.0
455000,4.0,2,1,0,0,3,8.0,1997,0,47.3828,-122.071,53795.0
405000,3.0,1,1,0,0,3,6.0,1908,0,47.5362,-122.268,10780.0
304900,4.0,1,1,0,0,4,7.0,1969,0,47.3954,-122.206,16525.0
170000,2.0,1,1,0,0,3,6.0,1931,0,47.5048,-122.272,6985.0
1129912,5.0,3,2,0,1,5,9.0,1905,1994,47.6166,-122.287,16140.0
780000,4.0,2,2,0,0,3,9.0,2005,0,47.6811,-122.025,14048.0
330000,3.0,3,1,0,0,4,8.0,1988,0,47.7486,-122.23,18799.0
370000,4.0,2,2,0,0,3,9.0,1992,0,47.3846,-122.169,14106.0
467000,5.0,2,1,0,0,3,7.0,1979,0,47.7564,-122.144,18500.0
405000,3.0,1,1,0,0,3,7.0,1980,0,47.7198,-122.193,10060.0
675000,5.0,2,1,0,0,3,8.0,1985,0,47.5461,-122.151,16050.0
500000,2.0,1,1,0,0,4,7.0,1954,0,47.5712,-122.143,17380.0
389999,4.0,2,2,0,0,4,7.0,1968,0,47.4281,-122.343,19550.0
630000,4.0,1,1,0,2,4,8.0,1975,0,47.7128,-122.223,14925.0
360000,4.0,2,2,0,0,3,9.0,1992,0,47.3341,-122.255,13848.0
580000,4.0,3,2,0,0,3,8.0,1986,0,47.5399,-122.181,17620.0
550000,3.0,2,2,0,3,5,8.0,1929,0,47.5717,-122.375,8106.0
879000,4.0,2,2,0,0,3,9.5,1994,0,47.5951,-122.017,28831.0
265000,3.0,2,1,0,0,3,7.0,1993,0,47.3536,-122.144,11599.0
446500,3.0,2,2,0,0,3,8.0,1990,0,47.5084,-122.154,12586.0
404000,3.0,1,1,0,0,3,7.0,1963,0,47.5586,-122.311,12940.0
267500,3.0,1,1,0,2,3,7.0,1957,0,47.4427,-122.274,15094.0
1129912,4.0,3,1,1,4,3,9.5,2002,0,47.6053,-122.077,26871.0
335000,3.0,2,2,0,0,3,8.0,1998,0,47.3494,-122.301,12512.0
576000,3.0,2,1,0,0,4,7.0,1948,0,47.6933,-122.393,12880.0
208633,3.0,2,2,0,0,3,8.0,2006,0,47.3537,-122.0,7890.0
315000,3.0,2,1,0,0,4,7.0,1964,0,47.476,-122.337,13150.0
725000,3.0,1,1,0,0,4,8.0,1913,0,47.6239,-122.298,7140.0
550000,4.0,2,1,0,0,4,8.0,1965,0,47.7776,-122.384,11350.0
610750,4.0,2,2,0,0,3,8.0,1984,0,47.6459,-122.058,11657.0
550700,2.0,1,1,0,0,4,6.0,1908,0,47.6692,-122.297,7020.0
665000,4.0,2,2,0,0,5,8.0,1960,0,47.5376,-122.18,17214.0
834000,4.0,2,1,0,2,5,8.0,1928,0,47.601,-122.294,8740.0
201000,5.0,1,1,0,0,3,6.0,1915,0,47.529,-121.837,81728.0
1129912,5.0,2,2,0,4,5,9.5,1921,0,47.6345,-122.367,16350.0
1129912,4.0,3,1,0,3,3,9.5,1997,0,47.5503,-122.102,20423.0
1129912,4.0,3,1,0,3,3,9.5,1997,0,47.5503,-122.102,20423.0
305000,4.0,2,1,0,0,3,8.0,1979,0,47.4441,-122.125,11600.0
487000,3.0,2,1,0,0,5,8.0,1948,0,47.7357,-122.333,19232.0
390000,3.0,2,1,0,0,4,8.0,1988,0,47.346,-122.157,68764.0
548000,2.0,1,1,0,0,4,7.0,1916,0,47.6638,-122.345,6804.0
268750,4.0,1,1,0,0,3,6.0,1943,0,47.48,-122.336,10375.0
819900,5.0,2,2,0,0,3,9.0,2013,0,47.6759,-122.151,13419.0
520000,3.0,2,2,0,0,3,8.0,1984,0,47.5162,-122.057,20260.0
230000,3.0,2,1,0,0,3,7.0,2003,0,47.2639,-122.252,14104.0
240000,3.0,1,1,0,0,3,7.0,1969,0,47.2929,-122.371,13268.0
232000,2.0,1,1,0,0,3,6.0,1922,1984,47.4957,-122.352,14572.0
240500,2.0,1,1,0,0,3,6.0,1922,1984,47.4957,-122.352,14572.0
274975,3.0,2,2,0,0,3,9.0,1987,0,47.7721,-122.093,51064.0
740000,4.0,2,1,0,0,4,9.0,1922,0,47.644,-122.319,8500.0
186375,3.0,1,1,0,0,2,7.0,1952,0,47.472,-122.344,9636.0
790000,3.0,2,1,0,0,4,9.0,1977,0,47.592,-122.166,15029.0
880000,4.0,3,2,0,0,3,9.0,1951,2002,47.669,-122.275,12350.0
279000,5.5,1,2,0,0,4,7.0,1955,0,47.42,-122.323,15660.0
295000,3.0,2,1,0,2,3,8.0,1991,0,47.1913,-122.012,14150.0
640000,2.0,1,1,0,0,3,7.0,1924,0,47.6666,-122.331,7140.0
940000,4.0,2,2,0,0,5,9.0,1968,0,47.5639,-122.217,14505.0
260000,4.0,2,2,0,0,3,7.0,2003,0,47.3483,-122.052,9158.0
559900,3.0,2,1,0,0,3,9.0,2004,0,47.7648,-122.164,11429.0
791500,4.0,2,1,0,0,5,7.0,1911,0,47.6794,-122.357,6520.0
